Sector,Ministry code,Description,1998,1997
Public Administration Sector,11,Prime Minister's Court,535000,530000
Public Administration Sector,12,Ministry of Defence,104500000,103500000
Public Administration Sector,13,Ministry of Interior,87500000,86000000
Public Administration Sector,71,Ministry of Cabinet and Information Affairs (Cabinet Affairs),759000,747000
Public Administration Sector,72,Civil Service Bureau,2328000,2250000
Public Administration Sector,73,Central Statistics Organisation,2598000,2578000
Public Administration Sector,15,Ministry of Cabinet Affairs and Information (Legal Affairs Section),340000,335000
Public Administration Sector,16,Ministry of Foreign Affairs,10050000,9945000
Public Administration Sector,18,Ministry of Justice and Islamic Affairs,4310000,4250000
Social Services Sector,20,Ministry of Cabinet and Information Affairs (Information Affairs),7099000,7066000
Social Services Sector,21,Ministry of Education,77500000,76000000
Social Services Sector,22,Ministry of Health,56000000,54000000
Social Services Sector,24,Ministry of Labour and Social Affairs,8650000,8650000
Social Services Sector,26,General Organization for Youth & Sports,4465000,4445000
Economic Services Sector,34,Ministry of Commerce,2320000,2300000
Economic Services Sector,51,Ministry of Oil & Industry,2300000,2280000
Economic Services Sector,81,Ministry of Finance & National Economy,4350000,4250000
Economic Services Sector,82,Central Stores Directorate,1485000,1465000
Infrastructure Sector,45,"Ministry of Housing, Municipalities & Environment (Housing Affairs)",4975000,4915000
Infrastructure Sector,46,Ministry of Works & Agriculture,15080000,14895000
Infrastructure Sector,47,Ministry of Electricity & Water,35350000,35000000
Infrastructure Sector,48,Ministry of Transportation,7800000,7720000
Infrastructure Sector,52,Civil Aviation Affairs,9785000,9630000
Infrastructure Sector,83,Customs & Ports Affairs,13215000,13065000
Miscellaneous Budget,19,Supreme Council for Oil,85000,80000
Miscellaneous Budget,27,"Ministry of Housing, Municipalities & Environment (Environment Affairs)",265000,260000
Miscellaneous Budget,28,Equestrian & Horse Racing Club,715000,710000
Miscellaneous Budget,41,Al Areen Reserve,530000,520000
Miscellaneous Budget,42,Amiri Flight,2270000,2245000
Miscellaneous Budget,43,Mohd Bin Khalifa Al Khalifa Cardiac Center,2220000,2200000
Miscellaneous Budget,49,Office of the Minister of State,150000,150000
Transfer Budget,60 11,Amiri Court,6000000,6000000
Transfer Budget,60 12,Crown Prince's Court,1800000,1800000
Transfer Budget,60 13,Ruling Family Council,1710000,1710000
Transfer Budget,60 20,Radio & TV Corporation,7900000,7900000
Transfer Budget,60 23,"Ministry of Housing, Municipalities & Environment (Municipal Affairs)",0,1100000
Transfer Budget,60 24,Bahrain Center for Research & Study,540000,540000
Transfer Budget,60 27,Sunni Awqaf,420000,420000
Transfer Budget,60 28,Ja'afari Awqaf,420000,420000
Transfer Budget,60 30,Bahrain University,9960000,9960000
Transfer Budget,60 34,Subsidies,3500000,3500000
Transfer Budget,60 35,Bait al-Qura'an,80000,80000
Transfer Budget,60 37,Shura Council,1510000,1510000
Transfer Budget (Accounts Under Ministry of Finance Control),60 38,Emergency Expenses,6000000,6000000
Transfer Budget (Accounts Under Ministry of Finance Control),60 38,Payment of Interest on Loans,22200000,22200000
Transfer Budget (Accounts Under Ministry of Finance Control),60 38,Contribution to GCC,1520000,1520000
Transfer Budget (Accounts Under Ministry of Finance Control),60 38,Local Transfers,11497000,8544000
Transfer Budget,60 39,Districts,1356000,678000
Transfer Budget,60 40,UNIDO,58000,137000
Transfer Budget,60 44,Bahrain Promotions and Marketing Board,1500000,1500000
,,Total,547500000,537500000
