Chapter,Section,Sector,Description,1998,1997
1,1,Oil and natural gas,Oil sales,313500000,307000000
1,2,Oil and natural gas,Gas sales,47000000,45500000
1,3,Oil and natural gas,Oil taxes and duties,1500000,1500000
2,1,Taxes and duties,Taxes and duties on consumption of goods and products,1800000,1800000
2,2,Taxes and duties,Taxes and duties on international trade,47600000,47220000
2,3,Taxes and duties,Registration and license fees,9900000,9800000
2,4,Taxes and duties,Administrative fees and duties,35400000,32780000
3,1,Government good and services,Government services,37400000,36250000
3,2,Government good and services,Government products,56400000,53850000
4,1,Government investments and properties,Investments,31550000,31490000
4,2,Government investments and properties,Rent,4160000,4085000
4,3,Government investments and properties,Concessions,2130000,2125000
5,1,Grants,Foreign grants,37600000,37600000
6,1,Sales of capital assets,Sales of equipment and tools,80000,120000
6,2,Sales of capital assets,Auctions,80000,80000
7,1,"Fines, penalties and miscellaneous income",Fines and penalties,2530000,2460000
7,2,"Fines, penalties and miscellaneous income",Other income,1370000,1340000
,,,Total,630000000,615000000
