Sector,Description,2004,2003,Ministry Code
Public Administration Sector,Ministry of Defence,8800000,6590000,12
Public Administration Sector,National Guard,1313000,2000000,50
Public Administration Sector,Ministry of Interior,4030000,3690000,13
Public Administration Sector,Civil Services Bureau,200000,230000,72
Public Administration Sector,Central Informatics Organization,1635000,2919000,73
Public Administration Sector,Ministry of Foreign Affairs,17000,425000,16
Public Administration Sector,Ministry of Justice,0,125000,18
Public Administration Sector,Ministry of Islamic Affairs,200000,200000,77
Public Administration Sector,Survey & Land Registration Bureau,142000,200000,78
Social Services Sector,Ministry of Infromation,2669000,3557000,20
Social Services Sector,Ministry of Education,5321000,6810000,21
Social Services Sector,Ministry of Health,11055000,5258000,22
Social Services Sector,Ministry of Labour & Social Affairs,627000,601000,24
Social Services Sector,General Organization for Youth & Sports,4780000,2685000,26
Economic Services Sector,Ministry of Commerce,742000,1377000,34
Economic Services Sector,Ministry of Industry,230000,277000,56
Economic Services Sector,Ministry of Finance & National Economy,21921000,18486000,81
Infrastructure Sector,Ministry of Works & Housing,109529000,104784000,46
Infrastructure Sector,Ministry of Electricity & Water,70033000,101908000,47
Infrastructure Sector,Ministry of Transportation,7000,630000,48
Infrastructure Sector,Civil Aviation Affairs,17276000,7162000,52
Infrastructure Sector,Customs & Ports Affairs,60634000,46430000,83
Miscellaneous Budget,Ministry of Municipalities Affairs & Agriculture Affairs (Agriculture Affairs),354000,634000,23
Miscellaneous Budget,Equestrian & Horse Racing Club,0,10000,28
Miscellaneous Budget,Public Commission For The Protection Of Marine Resources Enviroment And Wildlife,1390000,1539000,41
Transfer Budget,Radio & TV Corporation,2797000,3490000,60 20
Transfer Budget,Bahrain University,3949000,4411000,60 30
Transfer Budget,Arab Summit,349000,3572000,60 81
,Total,330000000,330000000,
