Sector,Description,2004,2003,Ministry Code
Public Administration Sector,Ministry of Interior,32190000,31480000,13
Public Administration Sector,Central Informatics Organization,250000,250000,73
Public Administration Sector,Ministry of Cabinet Affairs (Legal Affairs),32000,32000,15
Public Administration Sector,Ministry of Foreign Affairs,1150000,1150000,16
Public Administration Sector,Ministry of Justice,4536000,4192000,18
Public Administration Sector,Ministry of Islamic Affairs,29000,28000,77
Public Administration Sector,Survey & Land Registration Bereau,10005000,8450000,78
Social Services Sector,Ministry of Infromation,5700000,5400000,20
Social Services Sector,Ministry of Education,100000,110000,21
Social Services Sector,Ministry of Health,5765000,5765000,22
Social Services Sector,Ministry of Labour & Social Affairs,14500000,14500000,24
Economic Services Sector,Ministry of Commerce,12840000,12360000,34
Economic Services Sector,Ministry of Industry,1980000,1980000,56
Economic Services Sector,Ministry of Oil,492300000,492300000,51
Economic Services Sector,Ministry of Finance & National Economy,73465000,72060000,81
Economic Services Sector,Central Stores Directorate,108000,108000,82
Infrastructure Sector,Ministry of Works & Housing,263000,266000,46
Infrastructure Sector,Ministry of Electricity & Water,65800000,63600000,47
Infrastructure Sector,Ministry of Transportation,4600000,4880000,48
Infrastructure Sector,Civil Aviation Affairs,14350000,13900000,52
Miscellaneous Budget,Customs & Ports Affairs,65680000,63860000,83
Miscellaneous Budget,Ministry of Municipalities Affairs & Agriculture Affairs (Agriculture Affairs),227000,209000,23
Miscellaneous Budget,Public Commission For The Protection Of Marine Resources Enviroment And Wildlife,130000,120000,41
,Total,806000000,797000000,
