Sector,Description,2006,2005,Ministry Code
Public Administration Sector,National Guard,1550000,2920000,50
Public Administration Sector,Ministry of Interior,2955000,3786000,13
Public Administration Sector,Ministry of Foreign Affairs,117000,677000,16
Public Administration Sector,Civil Service Bureau,390000,420000,72
Public Administration Sector,Central Informatics Organization,1627000,3349000,73
Public Administration Sector,Ministry of Islamic Affairs,800000,1156000,77
Public Administration Sector,Survey & Land Registration Bureau,557000,123000,78
Social Services Sector,Ministry of Information,2403000,3349000,20
Social Services Sector,Ministry of Education,7153000,9093000,21
Social Services Sector,Ministry of Health,11568000,3984000,22
Social Services Sector,Ministry of Labour,150000,100000,24
Social Services Sector,General Organization for Youth & Sports,7761000,3352000,26
Social Services Sector,Ministry of Social Affairs,286000,200000,29
Economic Services Sector,Ministry of Industry & Commerce,5087000,3661000,34-56
Economic Services Sector,Ministry of Finance,72775000,66908000,81
Infrastructure Sector,Ministry of Works & Housing,214757000,173849000,46
Infrastructure Sector,Ministry of Electricity & Water,104983000,91518000,47
Infrastructure Sector,Ministry of Transportation,0,190000,48
Infrastructure Sector,Civil Aviation Affairs,15037000,17251000,52
Infrastructure Sector,"Customs,Ports & Free Zones Affairs",24597000,11420000,83
Miscellaneous Budget,Ministry of Municipalities Affairs & Agriculture (Agriculture Affairs),1006000,1090000,23
Miscellaneous Budget,Ministry of Municipalities Affairs & Agriculture (Municipalities Affairs),4434000,7295000,25
Miscellaneous Budget,Equestrian & Horse Racing Club,0,16000,28
Miscellaneous Budget,"Public Commission For the Protection of Marine Resources, Environment & Wildlife",1464000,4856000,41
Transfer Budget,Constitutional Court,0,127000,60 15
Transfer Budget,Radio & TV Corporation,3055000,3419000,60 20
Transfer Budget,Bahrain University,2797000,4000000,60 30
,Total,487309000,418109000,
