Transfer Budget (Accounts Under Ministry of Finance Control),Contribution to United Nations Organization,1000000,1000000
Transfer Budget (Accounts Under Ministry of Finance Control),Miscellaneous Commitments,7020000,6520000
Transfer Budget (Accounts Under Ministry of Finance Control),The General Organization for Social Insurance,13900000,13900000
Transfer Budget (Accounts Under Ministry of Finance Control),The Government's Share in Unemployment Insurance,10000000,10000000
Transfer Budget (Accounts Under Ministry of Finance Control),Other Estimations for Line Ministries & Government Agencies,70000000,70000000
Transfer Budget (Accounts Under Ministry of Finance Control),Risk Financing,800000,800000
Transfer Budget (Accounts Under Ministry of Finance Control),UNDP-Bahrain Country Co-operation Framework (CCF),750000,750000
Transfer Budget (Accounts Under Ministry of Finance Control),Early Retirement Scheme,11000000,11000000
Transfer Budget (Accounts Under Ministry of Finance Control),Shaikh Isa Cutural Centre,800000,800000
Transfer Budget (Accounts Under Ministry of Finance Control),Housing Programme Support,20000000,20000000
,Total,1832745000,1726164000
,Reserve (3%),54983000,51784000
,Grand Total,1887728000,1777948000
