Transfer Budget (Accounts Under MOF Control),Government Share in Pension Fund,800000,800000
Transfer Budget (Accounts Under MOF Control),Contribution to United Nations,2650000,2650000
Transfer Budget (Accounts Under MOF Control),Miscellaneous Commitments,8500000,8500000
Transfer Budget (Accounts Under MOF Control),Obligations and Subsidies for Retirement Systems,16500000,16500000
Transfer Budget (Accounts Under MOF Control),Improve the Standard of Living for Retirees,80802000,76955000
Transfer Budget (Accounts Under MOF Control),Other Estimations for Line Ministries & Government Agencies,148958000,124466000
Transfer Budget (Accounts Under MOF Control),Reduce Cost of Living for Families,105000000,105000000
Transfer Budget (Accounts Under MOF Control),Risk Financing,600000,600000
Transfer Budget (Accounts Under MOF Control),Early Retirement Scheme,14000000,14000000
Transfer Budget (Accounts Under MOF Control),The Government's Share in Unemployment Insurance,17000000,17000000
Transfer Budget (Accounts Under MOF Control),Housing Programme Support (Rent Allowance),40000000,40000000
Transfer Budget (Accounts Under MOF Control),Housing Programme Support (Housing Loans Reduction),4000000,4000000
,Total,3064799000,2963682000
,Reserve Account,91944000,88910000
,Grand Total,3156743000,3052592000
