Description,2014,2013
Electricity & Water Authority,350000000,350000000
University of Bahrain,45278000,45278000
Teachers' College (University of Bahrain),6000000,6000000
Bahrain Polytechnic,13100000,13100000
Food Subsidies,67000000,67000000
Royal Charity Organization,4400000,4400000
Social Welfare Fund,26000000,26000000
Housing Programme Support (Rent Allowance),40000000,40000000
Housing Programme Support (Housing Loans Reduction),4000000,4000000
Reduce Cost of Living for Families,105000000,105000000
Total,660778000,660778000
